communication management	social obligations management	task	feedback-value	feedback	sentiment	sentiment-value	opinion	opinion-value	emotion	emotion-value	knowledge	discourse structure management	partiality	conditionality	certainty	irony	date	time	participant	segment	raw
																			\	https://doc.ubuntu-fr.org/probleme_apt	
																	sam. nov. 01 2014	13:16	aDrz	content d'avoir pu faire remonter un probleme	content d'avoir pu faire remonter un probleme
																	sam. nov. 01 2014	13:16	mezen	:)	:)
																	sam. nov. 01 2014	13:29	ben123	bonjour	bonjour quelqu'un peu m'aider ?
		requestForHelp																	\	quelqu'un peu m'aider ?	
		answerNegatively															sam. nov. 01 2014	13:30	davlefou	je suis pas jongleur	je suis pas jongleur, désolé
																			\	désolé	
requestForInformation																	sam. nov. 01 2014	13:32	mezen	peut ou peu ?	peut ou peu ? :)
																			\	:)	
																	sam. nov. 01 2014	13:32	mezen	je peux aider un peu	je peux aider un peu
		answerPositively												conditional	uncertain		sam. nov. 01 2014	13:33	gniourf	moi je sais pas si je peux aider… ça dépend de la question et du domaine d'expertise requis	moi je sais pas si je peux aider… ça dépend de la question et du domaine d'expertise requis
		answer												conditional			sam. nov. 01 2014	13:34	gniourf	et du niveau d'expertise requis , aussi	et du niveau d'expertise requis, aussi
		answerNegatively													uncertain		sam. nov. 01 2014	13:34	gniourf	enfin bref , je suis dans le doute quant à ma possibilité de fournir de l'aide	enfin bref, je suis dans le doute quant à ma possibilité de fournir de l'aide
		answerPositively												conditional			sam. nov. 01 2014	13:34	mezen	pour moi , ça va dépendre si la question va etre posée ou pas	pour moi, ça va dépendre si la question va etre posée ou pas
		inform										introduceTopic					sam. nov. 01 2014	13:34	ben123	c'est pour kubuntu 14.10 avec dolphin lire une vidéo ,	c'est pour kubuntu 14.10 avec dolphin lire une vidéo, l'écran gèle et double c'est impossible ce bug est répertorié? y a t-il une façon de le corriger ?
		requestForInformation			inform	unsatisfied													\	l'écran gèle et double c'est impossible ce bug est répertorié ?	
																			\	y a t-il une façon de le corriger ?	
		inform												conditional			sam. nov. 01 2014	13:35	gniourf	Si l'écran gèle c'est qu'il fait trop froid	Si l'écran gèle c'est qu'il fait trop froid. Augmente un peu le chauffage.
		answerByRequestForAction																	\	Augmente un peu le chauffage	
																	sam. nov. 01 2014	13:35	davlefou	a tu essayé un autre lecteur , vlan par exemple ?	a tu essayé un autre lecteur, vlan par exemple?
																	sam. nov. 01 2014	13:35	ben123	c'est la cause de dragon player ?	c'est la cause de dragon player ? comment faire pour corrigé ce bug y a t-il un ppa pour dolphin pour une version plus évolué
																			\	comment faire pour corrigé ce bug	
																			\	y a t-il un ppa pour dolphin pour une version plus évolué	
									inform	happy							sam. nov. 01 2014	13:35	gniourf	S'il double c'est que t'as trop bu	S'il double c'est que t'as trop bu. Modère un peu ta boisson.
									inform	happy									\	Modère un peu ta boisson	
																	sam. nov. 01 2014	13:35	davlefou	Es ce que ta cg est correctement installé ?	Es ce que ta cg est correctement installé?
																	sam. nov. 01 2014	13:35	nesthib	même si ben123 aurait pu être un peu plus explicite , évite les moqueries	même si ben123 aurait pu être un peu plus explicite, évite les moqueries
																	sam. nov. 01 2014	13:35	gniourf	sinon ?	sinon ?
																	sam. nov. 01 2014	13:36	nesthib	y'a pas de sinon , c'est juste de la politesse	y'a pas de sinon, c'est juste de la politesse
																	sam. nov. 01 2014	13:36	mezen	est ce qu'avec vlc tu as le même problème ?	est ce qu'avec vlc tu as le même problème ?
																	sam. nov. 01 2014	13:37	mezen	(juste pour isoler la cause de l'erreur )	(juste pour isoler la cause de l'erreur)
																	sam. nov. 01 2014	13:37	davlefou	sudo lspci | grep VGA	sudo lspci | grep VGA
																	sam. nov. 01 2014	13:38	mezen	ensuite , est ce que tu as un message d'erreur quand tu lance ce " dragon player " à partir d'un terminal ?	ensuite, est ce que tu as un message d'erreur quand tu lance ce "dragon player" à partir d'un terminal ? ça peut nous aider
		requestForHelp																	\	ça peut nous aider	
																	sam. nov. 01 2014	13:42	vero	bonjour	bonjour
																	sam. nov. 01 2014	13:42	ben123	vous êtes tous mort ?	vous êtes tous mort? suicide collectif ?
																			\	suicide collectif ?	
		requestForHelp							inform	love		introduceTopic					sam. nov. 01 2014	13:43	vero	j'aurai besoin d'un coup de pouce pour une installation ubuntu sur une vieille tour	j'aurai besoin d'un coup de pouce pour une installation ubuntu sur une vieille tour
signalError					inform	unsatisfied											sam. nov. 01 2014	13:43	mezen	t'as un problème toi avec ton logiciel de chat	t'as un problème toi avec ton logiciel de chat
					inform	unsatisfied						introduceTopic			uncertain		sam. nov. 01 2014	13:44	vero	je pense avoir un problème de pilota de carte graphique	je pense avoir un problème de pilota de carte graphique
					inform	unsatisfied											sam. nov. 01 2014	13:44	vero	l'affichage est saccadé	l'affichage est saccadé
																	sam. nov. 01 2014	13:44	mezen	quelle carte graphique ?	quelle carte graphique ?
																	sam. nov. 01 2014	13:44	vero	il s'agit d'une ati radeon 9200	il s'agit d'une ati radeon 9200
																	sam. nov. 01 2014	13:45	vero	la distribution installée est unbuntu 14.0	la distribution installée est unbuntu 14.0
																	sam. nov. 01 2014	13:45	vero	j'ai essayé aussi ubuntu 14.10	j'ai essayé aussi ubuntu 14.10
correct																	sam. nov. 01 2014	13:45	vero	14,04	14.04
																	sam. nov. 01 2014	13:46	ben123	c'est a cause de halloween ?	c'est a cause de halloween?
																	sam. nov. 01 2014	13:46	nesthib	c'est un canal de support ,	c'est un canal de support, évite le HS
		requestForAction																	\	évite le HS	
		inform													uncertain		sam. nov. 01 2014	13:46	vero	euh , je ne pense pas	euh, je ne pense pas
																	sam. nov. 01 2014	13:46	vero	je suis hors sujet ?	je suis hors sujet ?
																	sam. nov. 01 2014	13:46	mezen	c'est quoi ton pilote ?	c'est quoi ton pilote ?
																	sam. nov. 01 2014	13:46	mezen	sudo lshw - c display	sudo lshw -c display
		correct	interpretation	answerNegatively					inform	happy							sam. nov. 01 2014	13:46	nesthib	non pas toi ;)	non pas toi ;)
																	sam. nov. 01 2014	13:46	mezen	puis regarde dans la ligne configuration	puis regarde dans la ligne configuration
		answer															sam. nov. 01 2014	13:47	vero	celui installé par défaut par la distribution	celui installé par défaut par la distribution
		requestForInformation	execution	answerPositively													sam. nov. 01 2014	13:47	mezen	oui mais lequel ?	oui mais lequel ?
																	sam. nov. 01 2014	13:47	mezen	radeon ?	radeon ?
																	sam. nov. 01 2014	13:47	vero	chais pas comment le savoir ?	chais pas comment le savoir ?
																	sam. nov. 01 2014	13:48	mezen	sudo lshw - c display	sudo lshw -c display
																	sam. nov. 01 2014	13:48	mezen	puis regarde dans la ligne configuration	puis regarde dans la ligne configuration
			evaluation	answerPositively			inform	depreciate									sam. nov. 01 2014	13:49	vero	ok , mon ubuntu redémarre , mais c'est long	ok, mon ubuntu redémarre, mais c'est long
		requestForInformation										introduceTopic					sam. nov. 01 2014	13:50	davlefou	pourquoi n'installe tu pas un lubuntu ?	pourquoi n'installe tu pas un lubuntu?
									inform	happy							sam. nov. 01 2014	13:51	vero	ahahaha	ahahaha
																	sam. nov. 01 2014	13:51	ben123	http://forum.ubuntu-fr.org/viewtopic.php?pid=18087801	http://forum.ubuntu-fr.org/viewtopic.php?pid=18087801
																	sam. nov. 01 2014	13:51	ben123	qui a la solution please	qui a la solution please
							inform	promote									sam. nov. 01 2014	13:53	davlefou	c'est plus léger , sur un machine plus ancienne , ce sera probablement meiux	 c'est plus léger, sur un machine plus ancienne, ce sera probablement meiux
			execution	answerPositively					inform	positiveSurprise							sam. nov. 01 2014	13:53	vero	ah bon	ah bon
requestForAction		requestForAction															sam. nov. 01 2014	13:53	davlefou	peut tu pastebiner " sudo lspci "	peut tu pastebiner "sudo lspci"
					inform	satisfied								conditional			sam. nov. 01 2014	13:53	vero	je me demandais justement si une plus ancienne version d'ubuntu réglerai le problème	je me demandais justement si une plus ancienne version d'ubuntu réglerai le problème
																	sam. nov. 01 2014	13:54	vero	mais la quelles ?	mais la quelles ?
requestForAction		requestForAction															sam. nov. 01 2014	13:55	davlefou	Tu peux pastebiner ?	Tu peux pastebiner?
																	sam. nov. 01 2014	13:56	VERO_	-display description : 13:56 (VERO_)>+ VGA compatible controller produit : 13:56 (VERO_)>+ RV280 [ Radeon 9200 ] fabriquant : 13:56 (VERO_)>+ Advanced Micro Devices , Inc . 13:56 (VERO_)>+ [AMD/ATI ] identifiant matériel : 13:56 (VERO_)>+ 0 information bus : 13:56 (VERO_)>+ pci@0000:01:00.0 version : 13:56 (VERO_)>+ 01 bits : 13:56 (VERO_)>+ 32 bits horloge : 13:56 (VERO_)>+ 66MHz fonctionnalités : 13:56 (VERO_)>+ agp agp-3.0 pm vga_controller bus_master cap_list rom configuration : 13:56 (VERO_)>+ driver=radeon latency=64 mingnt=8	-display                       description: VGA compatible controller        produit: RV280 [Radeon 9200]        fabriquant: Advanced Micro Devices, Inc. [AMD/ATI]        identifiant matériel: 0        information bus: pci@0000:01:00.0        version: 01        bits: 32 bits        horloge: 66MHz        fonctionnalités: agp agp-3.0 pm vga_controller bus_master cap_list rom        configuration: driver=radeon latency=64 mingnt=8     
requestForAction																	sam. nov. 01 2014	13:56	nW44b	faut pas coller ici	faut pas coller ici
inform																	sam. nov. 01 2014	13:56	davlefou	pastbin.com	 pastbin.com
correct																	sam. nov. 01 2014	13:56	davlefou	http://pastebin.com/index.php	http://pastebin.com/index.php
requestForAction																	sam. nov. 01 2014	13:56	nW44b	!paste VERO _	!paste VERO_
requestForAction																	sam. nov. 01 2014	13:56	@uBOTu-fr	Utilisez http://paste.ubuntu-fr-secours.org / pour les copiés/collés , mettez votre pseudonyme dans le champ idoine ,	Utilisez http://paste.ubuntu-fr-secours.org/ pour les copiés/collés, mettez votre pseudonyme dans le champ idoine, merci !
	anticipateThanking																		\	merci !	
		requestForAction					inform	promote						conditional			sam. nov. 01 2014	13:56	nW44b	et sinon , si c'est une machine pas puissante je te recommande aussi lubuntu	et sinon, si c'est une machine pas puissante je te recommande aussi lubuntu
requestForAction		requestForAction															sam. nov. 01 2014	13:57	davlefou	idem , pastebin lspci pour commencer ,	idem, pastebin lspci pour commencer,
																	sam. nov. 01 2014	13:57	nW44b	tu as quoi comme ram et cpu ?	tu as quoi comme ram et cpu ?
		answer													uncertain		sam. nov. 01 2014	13:57	VERO_	ram je crois 3go	ram je crois 3go
		answer															sam. nov. 01 2014	13:57	VERO_	cpu je ne sais plus	cpu je ne sais plus
requestForAction							inform	promote									sam. nov. 01 2014	13:57	davlefou	pastebin , c'est mieux !	pastebin, c'est mieux!
																	sam. nov. 01 2014	13:59	lyntoo	cat / proc/cpuinfo	cat /proc/cpuinfo
commit			evaluation	answerPositively													sam. nov. 01 2014	13:59	VERO_	je regarde comment utiliser pastebin	je regarde comment utiliser pastebin
																	sam. nov. 01 2014	13:59	lyntoo	free - m	free -m
inform		inform							inform	happy							sam. nov. 01 2014	13:59	nesthib	c'est surtout un service externe ;)	c'est surtout un service externe ;)
																	sam. nov. 01 2014	14:00	lyntoo	cat / proc/meminfo	cat /proc/meminfo
requestForInformation			evaluation	answerNegatively													sam. nov. 01 2014	14:00	davlefou	pardon ?	pardon?
		answer															sam. nov. 01 2014	14:00	nesthib	http://paste.ubuntu-fr-secours.org / est fourni par ubuntu-fr	 http://paste.ubuntu-fr-secours.org/ est fourni par ubuntu-fr
																	sam. nov. 01 2014	14:00	@uBOTu-fr	Paste de VERO :	Paste de VERO : http://paste.ubuntu-fr-secours.org/src-139210
																	sam. nov. 01 2014	14:01	davlefou	http://paste.ubuntu-fr-secours.org/src-139210	je lui en donné un à titre indicatif, pas obligatoir,
																	sam. nov. 01 2014	14:01	davlefou	je lui en donné un à titre indicatif , pas obligatoir , 14:01 (davlefou)> e	e
																	sam. nov. 01 2014	14:02	@uBOTu-fr	Paste de VERO :	Paste de VERO : http://paste.ubuntu-fr-secours.org/src-139211
		inform																	\	http://paste.ubuntu-fr-secours.org/src-139211	
																	sam. nov. 01 2014	14:02	VERO_	je viens de poster les infos concernant le cpu	je viens de poster les infos concernant le cpu
		answerByRequestForAction															sam. nov. 01 2014	14:04	davlefou	lubuntu	lubuntu
		answerByRequestForAction													uncertain		sam. nov. 01 2014	14:05	davlefou	et peut être aussi un coup de soufflet dans la caisse	et peut être aussi un coup de soufflet dans la caisse,
		commit	execution	answerPositively													sam. nov. 01 2014	14:05	VERO_	d'accord , je vais essayer une nouvelle installation avec lubuntu	d'accord, je vais essayer une nouvelle installation avec lubuntu
